id,text,author,category
1,"남들이 두려워할 때 탐욕스러워져라. 남들이 탐욕스러울 때 두려워하라.","워렌 버핏","investing"
2,"규칙 1: 절대 돈을 잃지 마라. 규칙 2: 규칙 1을 절대 잊지 마라.","워렌 버핏","risk"
3,"가격은 당신이 지불하는 것이고, 가치는 당신이 얻는 것이다.","워렌 버핏","value"
4,"10년 보유할 생각이 없다면 10분도 보유하지 마라.","워렌 버핏","investing"
5,"우리가 가장 좋아하는 보유 기간은 영원이다.","워렌 버핏","investing"
6,"투자는 지능지수가 아니라 기질의 문제다.","워렌 버핏","mindset"
7,"훌륭한 기업을 공정한 가격에 사는 것이 공정한 기업을 훌륭한 가격에 사는 것보다 훨씬 낫다.","워렌 버핏","value"
8,"오늘 그늘에 앉아 있는 것은 오래 전 누군가가 나무를 심었기 때문이다.","워렌 버핏","mindset"
9,"최고의 투자는 자기 자신에 대한 투자다.","워렌 버핏","mindset"
10,"시장은 인내심 없는 사람의 돈을 인내심 있는 사람에게 이동시킨다.","워렌 버핏","investing"
11,"위험은 자신이 무엇을 하고 있는지 모를 때 생긴다.","워렌 버핏","risk"
12,"분산투자는 무지에 대한 보호다.","워렌 버핏","investing"
13,"시간은 훌륭한 기업의 친구이고 형편없는 기업의 적이다.","워렌 버핏","investing"
14,"주식을 사는 것은 그 기업의 일부를 사는 것이다.","워렌 버핏","investing"
15,"물이 빠져야 누가 수영복 없이 헤엄치고 있었는지 알 수 있다.","워렌 버핏","risk"
16,"좋은 기업이 일시적인 어려움에 처할 때가 바로 위대한 투자 기회다.","워렌 버핏","investing"
17,"내가 알지 못하는 기업에는 투자하지 않는다.","워렌 버핏","investing"
18,"주주총회 없이도 잘 운영될 수 있는 기업에 투자하라.","워렌 버핏","investing"
19,"복리는 세상의 여덟 번째 불가사의다.","워렌 버핏","mindset"
20,"나는 이해할 수 없는 사업에는 투자하지 않는다.","워렌 버핏","investing"
21,"시장이 폭락할 때 비관론자가 된다면 당신은 이미 지고 있는 것이다.","워렌 버핏","mindset"
22,"돈을 벌기 위해 투자하지 마라. 부를 쌓기 위해 투자하라.","워렌 버핏","mindset"
23,"좋은 기업의 주식을 싼 가격에 사는 것이 최선이다.","워렌 버핏","value"
24,"뒤를 돌아보는 거울은 항상 앞을 내다보는 유리창보다 선명하다.","워렌 버핏","mindset"
25,"기회는 드물게 찾아온다. 황금빛 두꺼비가 뛰어오를 때 양동이를 들고 있어라.","워렌 버핏","investing"
26,"사업을 이해하지 못한 채 주식을 사는 것은 카드를 보지 않고 포커를 하는 것과 같다.","워렌 버핏","investing"
27,"훌륭한 기업이란 경쟁자가 없거나, 있더라도 그들이 이기지 못하는 기업이다.","워렌 버핏","investing"
28,"나는 탐욕스러운 사람들이 두려워할 때 탐욕스러워진다.","워렌 버핏","mindset"
29,"5년 후, 10년 후에도 이 기업이 성장할 것인가를 생각하라.","워렌 버핏","investing"
30,"시장이 어떻게 될지보다 기업이 어떻게 될지를 생각하라.","워렌 버핏","investing"
31,"주가는 단기적으로는 투표 기계이지만, 장기적으로는 저울이다.","벤저민 그레이엄","value"
32,"현명한 투자자는 낙관론자에게 팔고 비관론자에게서 산다.","벤저민 그레이엄","investing"
33,"투자 작업은 깊은 분석을 통해 원금의 안전과 적절한 수익을 약속하는 것이다.","벤저민 그레이엄","investing"
34,"군중이 당신과 의견이 다르다고 해서 당신이 틀린 것도, 옳은 것도 아니다.","벤저민 그레이엄","mindset"
35,"안전 마진은 성공적인 투자의 근본 원칙이다.","벤저민 그레이엄","risk"
36,"투자에서 가장 큰 위험은 시장을 이기려는 욕심이다.","벤저민 그레이엄","risk"
37,"투기꾼은 주가의 움직임에 베팅하고, 투자자는 기업의 가치에 투자한다.","벤저민 그레이엄","investing"
38,"방어적 투자자는 탄탄한 재무구조를 가진 대기업의 주식에 집중해야 한다.","벤저민 그레이엄","investing"
39,"시장은 단기적으로 감정의 기계이지만 장기적으로 가치의 저울이다.","벤저민 그레이엄","value"
40,"수익성은 좋은 투자의 필요조건이지 충분조건이 아니다.","벤저민 그레이엄","investing"
41,"성공적인 투자는 리스크를 피하는 것이 아니라 리스크를 관리하는 것이다.","벤저민 그레이엄","risk"
42,"인센티브를 보여주면 결과를 보여주겠다.","찰리 멍거","mindset"
43,"반전시키라. 항상 반전시키라.","찰리 멍거","mindset"
44,"큰 돈은 사고파는 것이 아니라 기다리는 것에서 나온다.","찰리 멍거","investing"
45,"매일 어제보다 조금 더 현명해지려 노력하라.","찰리 멍거","mindset"
46,"당신이 원하는 것을 얻으려면 그것을 받을 자격을 갖춰야 한다.","찰리 멍거","mindset"
